imei,total_km,total_duration_min,n_points,n_trips,meaningful_trip_cnt,meaningful_trip_ratio,harsh_brake_cnt,harsh_accel_cnt,severe_brake_cnt,speeding_cnt,harsh_brake_per_km,harsh_accel_per_km,speeding_per_km,km_per_hour,harsh_brake_per_hour,harsh_accel_per_hour,speeding_per_hour,night_ratio,avg_speed,avg_speed_moving,speed_p95_kmh,accel_p95,brake_p95,decel_kmhps_p95,mean_trip_dist_km,mean_trip_duration_min,mean_moving_share
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,82.09916666666666,246.61666666666667,2528,19,17,0.8947368421052632,1,1,0,0,0.012180391599589927,0.012180391599589927,0.0,19.974116374940863,0.2432925593025613,0.2432925593025613,0.0,0.05263157894736842,16.138876106660554,21.392117377266345,41.118421052631575,0.4895224171539958,0.5657163742690056,2.03657894736842,4.321008771929824,12.97982456140351,0.6059366791935165
01c5e356e8e2cbe38dc8cb0ea49f2a186940d2de6af7876b1c1bf4d4c3d08492,0.0,2.283333333333333,6,5,0,0.0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45666666666666667,0.0
0296ba754de6340615244e6c72742e39b5b16d2a205b290e63dec1b1a56382f0,0.0,0.0,9,9,0,0.0,0,0,0,0,,,,,,,,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
02efb606ed9bdf6e90adf2e69389f692c36d42ec28334aaff51f63a263d00265,9.320555555555556,51.0,520,5,3,0.6,0,0,0,0,0.0,0.0,0.0,10.965359477124183,0.0,0.0,0.0,0.0,6.967790994052676,11.449410774410776,20.259999999999998,0.42833333333333323,0.4773611111111108,1.7184999999999988,1.8641111111111113,10.2,0.3637917222963952
04e5c38694b57f8422e91b7752e297927fb7d1f1abc4f941fb23a3a105508c21,1.8936111111111111,5.050000000000001,60,12,3,0.25,0,0,0,0,0.0,0.0,0.0,22.498349834983493,0.0,0.0,0.0,0.3333333333333333,6.274891774891775,6.935119047619048,10.383333333333333,0.1983024691358024,0.18078703703703694,0.650833333333333,0.15780092592592593,0.4208333333333334,0.38257575757575757
0503a2eaa4c7ae9e7e23fac31a4f98a7e4278d707662c7de63e4d63a1a90503d,9.962222222222222,60.58333333333333,592,13,8,0.6153846153846154,0,0,0,0,0.0,0.0,0.0,9.866299862448418,0.0,0.0,0.0,0.0,6.5369273921102815,10.161654613401806,20.084615384615383,0.3418803418803416,0.32318376068376037,1.1634615384615374,0.7663247863247863,4.66025641025641,0.4744709866017838
054a315f54df7fb6865fb7cd144fd59c1982d77c416521ee452b1798fc055b5a,27.103611111111107,98.13333333333333,980,14,8,0.5714285714285714,1,0,0,0,0.036895452635462685,0.0,0.0,16.571501358695652,0.6114130434782609,0.0,0.0,0.21428571428571427,10.842817001865281,14.29160551982302,25.657142857142862,0.36801532755140987,0.37781084656084646,1.3601190476190472,1.935972222222222,7.009523809523809,0.43613484441369205
05789add75c68c56702a0111c05ab5af53addaf25a955eb74fc8dd6a1908b225,52.540972222222216,92.88333333333334,978,10,8,0.8,0,0,0,0,0.0,0.0,0.0,33.93997846761169,0.0,0.0,0.0,0.0,22.41623949089428,25.62675098050098,42.379999999999995,0.5452777777777776,0.5258796296296295,1.8931666666666664,5.254097222222222,9.288333333333334,0.6924263608825675
05a1006531ed70f250fd33bc8110ea4d51a5603d9966969c57099e5d5a1f538a,38.49388888888889,91.96666666666667,944,4,4,1.0,0,0,0,0,0.0,0.0,0.0,25.113809351214208,0.0,0.0,0.0,0.0,24.313098133594718,28.670714344271897,60.074999999999996,0.8202546296296293,0.6921296296296291,2.4916666666666654,9.623472222222222,22.991666666666667,0.8020681702725052
069988de85edac7fef91121ec8478bb1b2bba1bbcd41bc5ebdd48a336530aab6,5.530555555555555,18.183333333333334,208,10,2,0.2,0,0,0,0,0.0,0.0,0.0,18.24931255728689,0.0,0.0,0.0,0.2,4.053758937691522,6.088157894736843,10.719999999999999,0.20555555555555555,0.19884259259259243,0.7158333333333327,0.5530555555555555,1.8183333333333334,0.2331358529111338
