imei,trip_id,trip_start,trip_end,n_records,moving_share,speed_mean_kmh,speed_p95_kmh,accel_p95,brake_p95,decel_kmhps_p95,harsh_accel_cnt,harsh_brake_cnt,severe_brake_cnt,dist_km,duration_min,is_meaningful_trip,night_ratio,avg_speed,avg_speed_moving,speeding_cnt,harsh_brake_per_km,harsh_accel_per_km,speeding_per_km
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,1,2024-03-01 05:31:10,2024-03-01 05:31:10,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,1.0,0.0,0.0,0,,,
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,2,2024-03-01 06:53:02,2024-03-01 06:56:54,45,0.35555555555555557,3.2888888888888888,15.599999999999994,0.2111111111111109,0.4296296296296295,1.546666666666666,0,0,0,0.18083333333333332,3.8666666666666667,True,0.0,3.2888888888888888,9.25,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,3,2024-03-01 07:06:42,2024-03-01 07:08:22,20,0.25,2.1,11.05,0.2944444444444447,0.22500000000000006,0.8100000000000002,0,0,0,0.06083333333333333,1.6666666666666667,True,0.0,2.1,8.4,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,4,2024-03-01 08:08:27,2024-03-01 08:39:00,326,0.6840490797546013,12.325153374233128,46.0,0.4583333333333332,0.4374999999999999,1.5750000000000002,0,0,0,5.894444444444444,30.55,True,0.0,12.325153374233128,18.017937219730943,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,5,2024-03-01 08:44:23,2024-03-01 09:02:11,192,0.9791666666666666,26.666666666666668,64.89999999999998,0.3583333333333327,0.38888888888888895,1.4,0,0,0,7.537222222222223,17.8,True,0.0,26.666666666666668,27.23404255319149,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,6,2024-03-01 09:16:48,2024-03-01 09:38:37,204,0.7941176470588235,16.642156862745097,44.0,0.611111111111111,0.658333333333333,2.3699999999999988,0,0,0,4.951666666666666,21.816666666666666,True,0.0,16.642156862745097,20.95679012345679,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,7,2024-03-01 09:46:58,2024-03-01 09:57:51,124,0.7016129032258065,18.693548387096776,56.69999999999999,0.6666666666666666,0.9194444444444434,3.3099999999999965,0,0,0,3.417777777777778,10.883333333333333,True,0.0,18.693548387096776,26.64367816091954,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,8,2024-03-01 10:04:18,2024-03-01 10:06:06,12,0.25,2.0833333333333335,9.0,0.20694444444444432,0.18749999999999972,0.6749999999999989,0,0,0,0.03666666666666667,1.8,True,0.0,2.0833333333333335,8.333333333333334,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,9,2024-03-01 10:26:23,2024-03-01 10:30:22,46,0.6086956521739131,11.304347826086957,38.0,0.6805555555555556,0.6458333333333334,2.325,0,0,0,0.7658333333333333,3.9833333333333334,True,0.0,11.304347826086957,18.571428571428573,0,0.0,0.0,0.0
0138c5f52809eafe6862d5ea5ae83fb87cc3d19a4d2070dceb3a8ef737975f8a,10,2024-03-01 10:39:42,2024-03-01 10:50:20,124,0.782258064516129,21.56451612903226,51.0,0.611111111111111,0.816666666666666,2.9399999999999977,0,0,0,3.9097222222222223,10.633333333333333,True,0.0,21.56451612903226,27.567010309278352,0,0.0,0.0,0.0
